Actual,Predicted,Severity_%,Predicted_Label
1,1,99.28,1
0,0,0.01,0
1,1,99.99,1
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.03,0
0,0,0.0,0
0,0,0.04,0
0,0,0.02,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.02,0
0,0,0.0,0
1,1,99.94,1
1,1,99.99,1
0,0,0.19,0
0,0,0.0,0
0,0,0.02,0
0,0,0.34,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.01,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.04,0
0,0,0.02,0
0,0,0.0,0
1,1,100.0,1
1,1,99.96,1
0,0,0.01,0
0,0,0.01,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.05,0
0,0,0.0,0
1,1,100.0,1
0,0,0.01,0
0,0,0.08,0
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,99.99,1
1,1,99.99,1
1,1,100.0,1
1,1,99.9,1
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.03,0
0,0,0.0,0
1,1,99.69,1
1,1,99.94,1
0,0,0.0,0
0,0,0.0,0
1,1,99.94,1
0,0,0.01,0
0,0,0.04,0
1,1,100.0,1
0,0,0.01,0
1,1,100.0,1
1,1,99.99,1
1,1,99.85,1
0,0,0.02,0
1,1,100.0,1
1,1,100.0,1
0,0,0.02,0
1,1,99.98,1
0,0,0.0,0
1,1,100.0,1
1,1,99.69,1
0,0,0.0,0
1,1,100.0,1
0,0,0.05,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,99.67,1
1,1,99.98,1
0,0,0.01,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.01,0
0,0,0.01,0
1,1,100.0,1
0,0,0.0,0
1,1,99.98,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
1,1,99.98,1
0,0,0.0,0
1,1,100.0,1
0,0,0.01,0
1,1,100.0,1
1,1,100.0,1
0,0,0.04,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,9.75,0
1,1,100.0,1
0,0,0.0,0
1,1,99.99,1
1,1,99.99,1
0,0,0.01,0
1,1,99.85,1
0,0,0.02,0
0,0,0.22,0
0,0,0.0,0
1,1,99.86,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.02,0
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.01,0
1,1,99.21,1
0,0,0.0,0
0,0,0.02,0
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
1,1,99.92,1
1,1,100.0,1
1,1,99.99,1
0,0,27.09,0
0,0,0.0,0
1,1,99.97,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,99.81,1
1,1,100.0,1
1,1,99.99,1
1,1,100.0,1
0,0,0.0,0
0,0,0.04,0
0,0,0.0,0
1,1,99.99,1
1,1,100.0,1
1,1,99.99,1
0,0,0.0,0
0,0,0.0,0
0,0,0.01,0
1,1,99.9,1
1,1,100.0,1
0,0,0.0,0
0,0,0.01,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
1,1,99.98,1
0,0,0.0,0
0,0,0.0,0
0,0,0.01,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,99.91,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
1,1,99.74,1
1,1,100.0,1
1,1,100.0,1
1,1,99.99,1
1,1,100.0,1
0,0,0.0,0
1,1,99.68,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,99.98,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.56,0
1,1,99.99,1
1,1,99.11,1
0,0,0.0,0
1,1,100.0,1
0,0,0.02,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
1,1,99.87,1
1,1,99.99,1
1,1,99.99,1
1,1,99.95,1
1,1,100.0,1
1,1,99.99,1
1,1,99.98,1
0,0,0.24,0
0,0,0.0,0
0,0,0.01,0
1,1,100.0,1
0,0,0.0,0
0,0,0.03,0
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
1,1,99.99,1
0,0,0.0,0
1,1,99.99,1
0,0,0.03,0
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,99.99,1
1,1,99.99,1
0,0,0.01,0
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.05,0
1,1,99.96,1
1,1,99.98,1
1,1,99.88,1
1,1,100.0,1
1,1,99.49,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.04,0
1,1,100.0,1
0,0,0.02,0
1,1,91.99,1
0,0,0.0,0
1,1,99.95,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.01,0
1,1,99.99,1
1,1,100.0,1
0,0,0.01,0
1,1,99.97,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,99.96,1
1,1,99.99,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.08,0
0,0,0.05,0
0,0,0.02,0
1,1,99.99,1
1,1,100.0,1
0,0,0.0,0
1,1,99.94,1
1,1,99.96,1
1,1,100.0,1
1,1,99.95,1
0,0,0.0,0
0,0,0.01,0
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,99.99,1
0,0,0.0,0
0,0,2.19,0
0,0,0.01,0
0,0,0.0,0
0,0,0.02,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,99.99,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,99.95,1
0,0,0.01,0
1,1,99.99,1
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.05,0
1,1,100.0,1
0,0,0.0,0
1,1,99.98,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,99.99,1
0,0,0.05,0
1,1,99.99,1
0,0,0.0,0
1,1,100.0,1
1,1,99.98,1
1,1,100.0,1
1,1,99.99,1
0,0,0.0,0
0,0,0.0,0
0,0,0.01,0
0,0,0.02,0
1,1,100.0,1
0,0,0.02,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,99.99,1
0,0,0.0,0
1,1,99.99,1
0,0,0.01,0
0,0,0.01,0
1,1,99.99,1
1,1,99.85,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,99.98,1
1,1,99.96,1
0,0,0.01,0
1,1,100.0,1
1,1,99.99,1
1,1,99.93,1
1,1,99.47,1
0,0,0.0,0
0,0,0.23,0
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,99.96,1
1,1,100.0,1
1,1,99.95,1
1,1,100.0,1
1,1,99.98,1
0,0,0.01,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.02,0
0,0,0.0,0
1,1,100.0,1
0,0,0.01,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.01,0
1,1,99.98,1
1,1,100.0,1
0,0,0.03,0
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,99.95,1
1,1,99.81,1
1,1,99.98,1
0,0,0.0,0
1,1,99.98,1
0,0,0.0,0
0,0,0.01,0
0,0,0.0,0
0,0,0.19,0
0,0,0.0,0
0,0,0.0,0
0,0,3.29,0
1,1,99.99,1
1,1,100.0,1
0,0,0.01,0
0,0,0.0,0
1,1,99.99,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.01,0
0,0,0.02,0
0,0,0.03,0
0,0,0.0,0
1,1,100.0,1
1,1,99.86,1
0,0,0.01,0
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.01,0
1,1,99.99,1
0,0,0.01,0
1,1,100.0,1
1,1,99.85,1
0,0,0.0,0
0,0,0.02,0
1,1,100.0,1
1,1,99.99,1
0,0,0.01,0
1,1,100.0,1
1,1,99.99,1
1,1,100.0,1
0,0,0.0,0
0,0,1.41,0
0,0,0.0,0
0,0,0.08,0
0,0,0.42,0
0,0,0.0,0
1,1,97.82,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
1,1,99.97,1
0,0,0.0,0
0,1,67.2,1
0,0,0.01,0
0,0,0.02,0
1,1,100.0,1
1,1,100.0,1
0,0,0.01,0
0,0,0.0,0
0,0,0.02,0
0,0,0.01,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.01,0
1,1,99.98,1
0,0,0.0,0
1,1,99.99,1
0,0,0.01,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,99.99,1
0,0,0.0,0
0,0,0.02,0
1,1,99.99,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,99.99,1
1,1,99.97,1
1,1,99.99,1
0,0,0.0,0
1,1,100.0,1
1,1,99.84,1
1,1,99.99,1
0,0,0.02,0
1,1,99.99,1
0,0,0.01,0
1,1,100.0,1
0,0,0.02,0
1,1,99.1,1
0,0,0.0,0
1,1,100.0,1
1,1,99.91,1
1,1,100.0,1
0,0,0.02,0
1,1,99.59,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,99.99,1
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
1,1,99.99,1
0,0,0.0,0
0,0,0.0,0
1,1,99.98,1
0,0,0.02,0
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,96.14,1
1,1,99.37,1
1,1,100.0,1
1,1,99.98,1
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
1,1,99.97,1
1,1,100.0,1
1,1,99.99,1
1,1,99.99,1
0,0,0.01,0
1,1,99.98,1
0,0,0.01,0
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
1,1,99.99,1
1,1,99.74,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,99.94,1
0,0,0.0,0
1,1,100.0,1
0,0,0.01,0
1,1,99.99,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.05,0
1,1,99.99,1
1,1,99.94,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,99.95,1
1,1,100.0,1
0,0,0.0,0
1,1,99.87,1
1,1,99.99,1
1,1,100.0,1
1,1,100.0,1
1,1,99.99,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.02,0
1,1,99.99,1
0,0,0.03,0
1,1,100.0,1
1,1,99.83,1
1,1,99.9,1
1,1,100.0,1
0,0,0.01,0
1,0,3.5,0
1,1,100.0,1
1,1,99.99,1
1,1,98.38,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,99.89,1
0,0,0.0,0
1,0,31.67,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,99.84,1
1,1,99.99,1
1,1,100.0,1
1,1,99.99,1
1,1,99.92,1
0,0,0.01,0
0,0,0.01,0
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,99.98,1
0,0,0.0,0
1,1,100.0,1
1,1,98.65,1
0,0,0.0,0
1,1,99.97,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,10.51,0
0,0,0.0,0
1,1,99.99,1
0,0,0.12,0
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.02,0
1,1,99.99,1
1,1,100.0,1
1,1,99.99,1
0,0,0.0,0
0,0,0.0,0
1,1,99.99,1
0,0,0.02,0
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
1,1,99.5,1
1,1,99.95,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.01,0
1,1,99.99,1
1,1,97.48,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,99.98,1
1,1,99.71,1
1,1,100.0,1
1,1,99.99,1
0,0,0.03,0
1,1,99.14,1
1,1,100.0,1
0,0,0.01,0
0,0,0.0,0
1,1,100.0,1
0,0,0.03,0
1,1,99.98,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.23,0
1,1,100.0,1
0,0,0.02,0
1,1,100.0,1
0,0,0.02,0
0,0,0.0,0
0,0,0.0,0
0,0,0.02,0
1,1,99.73,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.06,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.03,0
1,1,99.84,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.24,0
1,1,99.99,1
0,0,2.6,0
1,1,100.0,1
0,0,0.0,0
1,1,84.75,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,99.99,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,99.99,1
0,0,0.03,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,99.99,1
1,1,100.0,1
0,0,0.02,0
0,0,0.0,0
1,1,100.0,1
0,0,0.12,0
1,1,99.98,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.5,0
1,1,100.0,1
1,1,100.0,1
0,0,0.01,0
1,1,100.0,1
1,1,99.98,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
1,1,99.99,1
0,0,0.01,0
0,0,0.02,0
0,0,0.0,0
1,1,99.95,1
0,0,0.0,0
1,1,100.0,1
0,0,0.02,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.01,0
0,0,0.0,0
0,0,0.0,0
0,0,0.01,0
0,0,0.03,0
1,1,99.98,1
0,0,0.02,0
0,0,0.03,0
0,0,0.0,0
0,0,0.01,0
0,0,0.0,0
1,1,99.96,1
0,1,72.35,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.05,0
1,1,100.0,1
0,0,0.0,0
1,1,99.81,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.05,0
0,0,0.0,0
1,1,99.99,1
1,1,100.0,1
0,0,0.0,0
0,0,0.31,0
0,0,0.0,0
1,1,99.95,1
0,0,0.0,0
0,0,0.02,0
1,1,100.0,1
0,0,0.01,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,99.97,1
0,0,0.0,0
1,1,100.0,1
0,0,0.24,0
1,1,100.0,1
1,1,99.87,1
1,1,99.99,1
1,1,99.99,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,99.75,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.04,0
0,0,0.0,0
1,1,100.0,1
1,1,99.98,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.01,0
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
1,1,99.99,1
0,0,0.0,0
1,1,100.0,1
1,1,99.98,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,99.99,1
1,1,99.99,1
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
1,1,99.98,1
0,0,0.13,0
0,0,0.0,0
1,1,99.95,1
0,0,0.02,0
1,1,99.99,1
1,1,100.0,1
1,1,99.76,1
1,1,99.99,1
1,1,96.72,1
1,1,99.93,1
1,1,100.0,1
0,0,0.0,0
1,1,99.99,1
1,1,99.93,1
1,1,99.97,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,99.99,1
1,1,100.0,1
1,1,100.0,1
0,0,0.01,0
1,1,99.98,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.01,0
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,98.68,1
1,1,100.0,1
1,1,99.98,1
0,0,0.0,0
0,0,0.03,0
1,1,100.0,1
0,0,0.01,0
1,1,99.99,1
1,1,99.82,1
1,1,100.0,1
0,1,74.5,1
1,1,99.3,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.02,0
1,1,99.96,1
0,0,0.0,0
0,0,0.01,0
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,99.77,1
1,1,99.97,1
1,1,100.0,1
1,1,99.83,1
1,1,99.99,1
0,0,0.01,0
1,1,99.47,1
0,0,0.0,0
1,1,99.95,1
1,1,99.99,1
1,1,100.0,1
1,1,99.99,1
1,1,100.0,1
0,0,0.01,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,99.99,1
1,1,100.0,1
0,0,0.02,0
1,1,99.99,1
1,1,99.99,1
1,1,99.99,1
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,99.95,1
1,1,99.99,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.01,0
1,1,99.99,1
1,1,100.0,1
1,1,99.95,1
0,0,0.0,0
1,1,99.97,1
1,1,100.0,1
1,1,99.99,1
1,1,99.99,1
0,0,0.3,0
1,1,99.99,1
1,1,99.98,1
1,1,99.99,1
0,0,0.0,0
1,1,99.92,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.05,0
0,0,0.0,0
0,0,0.5,0
1,1,99.59,1
0,0,0.0,0
0,0,0.02,0
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.01,0
1,1,100.0,1
1,1,98.6,1
1,1,99.99,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.02,0
0,0,0.01,0
0,0,0.36,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,99.99,1
0,0,0.02,0
1,1,99.96,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,99.98,1
1,1,99.99,1
1,1,99.99,1
0,0,1.99,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,99.98,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.04,0
0,0,0.01,0
0,0,0.0,0
1,1,100.0,1
0,0,0.01,0
1,1,99.99,1
0,0,0.0,0
0,0,0.03,0
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.01,0
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.01,0
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.02,0
1,1,100.0,1
0,0,0.0,0
0,0,0.05,0
0,0,0.02,0
0,0,0.0,0
0,0,0.0,0
1,1,99.99,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,99.78,1
0,0,0.0,0
0,0,0.01,0
1,1,100.0,1
1,1,99.96,1
0,0,0.0,0
0,0,0.02,0
0,0,0.02,0
1,1,100.0,1
1,1,100.0,1
0,0,0.01,0
0,0,0.03,0
1,1,100.0,1
0,0,0.0,0
0,0,0.02,0
0,0,0.0,0
0,0,0.01,0
1,1,100.0,1
0,0,0.01,0
0,0,0.02,0
1,1,100.0,1
0,0,0.02,0
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,99.99,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.62,0
1,1,100.0,1
1,1,99.98,1
1,1,100.0,1
0,0,0.21,0
1,1,99.99,1
1,1,99.97,1
0,0,0.0,0
1,1,99.99,1
0,0,0.02,0
1,1,99.99,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.01,0
1,1,99.97,1
1,1,99.97,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
1,1,99.99,1
0,0,0.01,0
1,1,99.97,1
1,1,100.0,1
1,1,99.99,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.08,0
1,1,99.98,1
1,1,99.9,1
1,1,99.94,1
1,1,100.0,1
1,1,100.0,1
1,1,99.06,1
1,1,100.0,1
1,1,99.98,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.01,0
1,1,100.0,1
1,1,100.0,1
1,1,99.99,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
1,1,99.99,1
1,1,99.98,1
1,1,99.85,1
0,0,0.03,0
1,1,99.99,1
0,0,0.0,0
1,1,100.0,1
0,0,0.02,0
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.02,0
1,1,100.0,1
1,1,99.99,1
1,1,99.99,1
1,1,99.98,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.02,0
1,1,100.0,1
1,1,100.0,1
1,1,99.99,1
1,1,100.0,1
1,1,100.0,1
1,1,99.99,1
1,1,99.64,1
0,0,0.01,0
0,0,0.05,0
1,1,100.0,1
1,1,99.97,1
1,1,99.99,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.01,0
0,0,0.0,0
0,0,0.0,0
1,1,98.69,1
1,1,100.0,1
0,0,0.05,0
1,1,100.0,1
1,1,100.0,1
1,1,99.98,1
0,0,0.01,0
0,0,0.01,0
1,1,99.99,1
1,1,99.99,1
1,1,99.99,1
0,0,0.01,0
1,1,99.99,1
0,0,0.01,0
0,0,0.0,0
1,1,99.73,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,99.99,1
0,0,0.0,0
0,0,0.0,0
0,0,0.02,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,99.99,1
1,1,99.93,1
0,0,0.0,0
1,1,100.0,1
1,1,99.95,1
0,0,0.0,0
1,1,99.99,1
1,1,99.98,1
0,0,0.01,0
1,1,99.98,1
1,1,99.98,1
1,1,99.98,1
1,1,100.0,1
1,1,100.0,1
1,1,96.62,1
0,0,0.01,0
0,0,0.01,0
0,0,0.0,0
1,1,100.0,1
1,1,99.99,1
0,0,0.0,0
0,0,0.01,0
0,0,0.0,0
1,1,99.25,1
0,0,0.0,0
0,0,0.16,0
1,1,99.99,1
1,1,99.83,1
1,1,99.97,1
1,1,99.67,1
0,0,0.07,0
0,0,0.02,0
1,1,99.99,1
1,1,99.99,1
0,0,0.0,0
0,0,0.0,0
1,1,99.97,1
1,1,99.99,1
0,0,0.01,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.02,0
1,1,100.0,1
1,1,99.99,1
1,1,100.0,1
1,1,99.99,1
0,0,0.02,0
1,1,99.99,1
0,0,0.02,0
0,0,0.0,0
0,0,0.02,0
1,1,99.99,1
1,1,99.98,1
1,1,99.98,1
0,0,0.0,0
1,1,99.99,1
1,1,99.99,1
1,1,100.0,1
1,1,100.0,1
0,0,0.01,0
1,1,99.99,1
0,0,0.01,0
1,1,99.53,1
0,0,0.0,0
1,1,99.98,1
0,0,0.0,0
1,1,98.83,1
1,1,100.0,1
1,1,99.47,1
1,1,100.0,1
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
1,1,99.99,1
1,1,99.94,1
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
0,0,0.0,0
0,0,0.0,0
1,1,100.0,1
1,1,99.85,1
1,1,100.0,1
0,0,0.02,0
0,0,0.45,0
1,1,100.0,1
1,1,95.05,1
1,1,99.99,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
1,1,100.0,1
1,1,100.0,1
0,0,0.03,0
1,1,99.98,1
0,0,0.0,0
1,1,99.92,1
0,0,0.03,0
0,0,0.0,0
0,0,0.05,0
1,1,100.0,1
1,1,100.0,1
0,0,0.0,0
0,0,0.02,0
0,0,0.0,0
0,0,0.0,0
0,0,0.03,0
0,0,0.0,0
1,1,99.96,1
0,0,0.0,0
